"filename", "language", "vue", "TypeScript", "JavaScript", "Less", "SVG", "comment", "blank", "total"
"c:\Users\LENOVO\Desktop\Songs\src\components\content\artist-introduction\artist-introduction-detailed.vue", "vue", 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\LENOVO\Desktop\Songs\src\components\content\artists-similar\artists-similar.vue", "vue", 50, 0, 0, 0, 0, 0, 4, 54
"c:\Users\LENOVO\Desktop\Songs\src\components\content\artists\artists.vue", "vue", 43, 0, 0, 0, 0, 0, 2, 45
"c:\Users\LENOVO\Desktop\Songs\src\components\content\comment\comment-floor.vue", "vue", 87, 0, 0, 0, 0, 8, 3, 98
"c:\Users\LENOVO\Desktop\Songs\src\components\content\comment\comment-item.vue", "vue", 69, 0, 0, 0, 0, 5, 4, 78
"c:\Users\LENOVO\Desktop\Songs\src\components\content\comment\index.vue", "vue", 80, 0, 0, 0, 0, 0, 7, 87
"c:\Users\LENOVO\Desktop\Songs\src\components\content\comment\style\style.less", "Less", 0, 0, 0, 54, 0, 0, 1, 55
"c:\Users\LENOVO\Desktop\Songs\src\components\content\description\description.vue", "vue", 61, 0, 0, 0, 0, 0, 1, 62
"c:\Users\LENOVO\Desktop\Songs\src\components\content\list-card\list-card-group.vue", "vue", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\LENOVO\Desktop\Songs\src\components\content\list-card\list-card.vue", "vue", 88, 0, 0, 0, 0, 3, 2, 93
"c:\Users\LENOVO\Desktop\Songs\src\components\content\login\login.vue", "vue", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\LENOVO\Desktop\Songs\src\components\content\playList\playList.vue", "vue", 78, 0, 0, 0, 0, 0, 5, 83
"c:\Users\LENOVO\Desktop\Songs\src\components\content\search-input\index.vue", "vue", 115, 0, 0, 0, 0, 0, 7, 122
"c:\Users\LENOVO\Desktop\Songs\src\components\content\search-input\suggestions.vue", "vue", 97, 0, 0, 0, 0, 0, 3, 100
"c:\Users\LENOVO\Desktop\Songs\src\components\content\song-add2List\song-add2List.vue", "vue", 72, 0, 0, 0, 0, 0, 2, 74
"c:\Users\LENOVO\Desktop\Songs\src\components\content\song-card\song-card.vue", "vue", 92, 0, 0, 0, 0, 0, 4, 96
"c:\Users\LENOVO\Desktop\Songs\src\components\content\song-lyric\song-lyric.vue", "vue", 87, 0, 0, 0, 0, 0, 6, 93
"c:\Users\LENOVO\Desktop\Songs\src\components\content\songs-table\song-table-common.vue", "vue", 81, 0, 0, 0, 0, 0, 3, 84
"c:\Users\LENOVO\Desktop\Songs\src\components\content\songs-table\song-table-my.vue", "vue", 89, 0, 0, 0, 0, 0, 3, 92
"c:\Users\LENOVO\Desktop\Songs\src\components\content\songs-table\song-table.less", "Less", 0, 0, 0, 23, 0, 0, 1, 24
"c:\Users\LENOVO\Desktop\Songs\src\components\content\songs-table\song-table.ts", "TypeScript", 0, 57, 0, 0, 0, 6, 7, 70
"c:\Users\LENOVO\Desktop\Songs\src\components\content\video\video-card-group.vue", "vue", 22, 0, 0, 0, 0, 0, 1, 23
"c:\Users\LENOVO\Desktop\Songs\src\components\content\video\video-card.vue", "vue", 107, 0, 0, 0, 0, 0, 4, 111
"c:\Users\LENOVO\Desktop\Songs\src\hook\register.ts", "TypeScript", 0, 26, 0, 0, 0, 6, 6, 38
"c:\Users\LENOVO\Desktop\Songs\src\interface\interface.ts", "TypeScript", 0, 202, 0, 0, 0, 45, 20, 267
"c:\Users\LENOVO\Desktop\Songs\src\main.ts", "TypeScript", 0, 19, 0, 0, 0, 2, 4, 25
"c:\Users\LENOVO\Desktop\Songs\src\router\index.ts", "TypeScript", 0, 33, 0, 0, 0, 6, 6, 45
"c:\Users\LENOVO\Desktop\Songs\src\router\module\album.ts", "TypeScript", 0, 27, 0, 0, 0, 2, 1, 30
"c:\Users\LENOVO\Desktop\Songs\src\router\module\list.ts", "TypeScript", 0, 47, 0, 0, 0, 4, 2, 53
"c:\Users\LENOVO\Desktop\Songs\src\router\module\search.ts", "TypeScript", 0, 12, 0, 0, 0, 1, 1, 14
"c:\Users\LENOVO\Desktop\Songs\src\router\module\set.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 1, 28
"c:\Users\LENOVO\Desktop\Songs\src\router\module\singer.ts", "TypeScript", 0, 57, 0, 0, 0, 5, 2, 64
"c:\Users\LENOVO\Desktop\Songs\src\router\module\songs.ts", "TypeScript", 0, 27, 0, 0, 0, 2, 2, 31
"c:\Users\LENOVO\Desktop\Songs\src\router\module\test.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\LENOVO\Desktop\Songs\src\router\module\user.ts", "TypeScript", 0, 27, 0, 0, 0, 2, 1, 30
"c:\Users\LENOVO\Desktop\Songs\src\service\api\api.ts", "TypeScript", 0, 808, 0, 0, 0, 167, 43, 1018
"c:\Users\LENOVO\Desktop\Songs\src\service\api\handle.ts", "TypeScript", 0, 578, 0, 0, 0, 3, 33, 614
"c:\Users\LENOVO\Desktop\Songs\src\service\index.ts", "TypeScript", 0, 16, 0, 0, 0, 2, 4, 22
"c:\Users\LENOVO\Desktop\Songs\src\service\request\index.ts", "TypeScript", 0, 73, 0, 0, 0, 24, 7, 104
"c:\Users\LENOVO\Desktop\Songs\src\service\request\type.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\LENOVO\Desktop\Songs\src\shims-vue.d.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 1, 7
"c:\Users\LENOVO\Desktop\Songs\src\store\index.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 4, 10
"c:\Users\LENOVO\Desktop\Songs\src\store\module\data.ts", "TypeScript", 0, 51, 0, 0, 0, 21, 3, 75
"c:\Users\LENOVO\Desktop\Songs\src\store\module\songs.ts", "TypeScript", 0, 105, 0, 0, 0, 46, 2, 153
"c:\Users\LENOVO\Desktop\Songs\src\store\module\user.ts", "TypeScript", 0, 27, 0, 0, 0, 12, 1, 40
"c:\Users\LENOVO\Desktop\Songs\src\test\test.js", "JavaScript", 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\LENOVO\Desktop\Songs\src\test\test.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\LENOVO\Desktop\Songs\src\test\test.vue", "vue", 93, 0, 0, 0, 0, 0, 2, 95
"c:\Users\LENOVO\Desktop\Songs\src\utils\storage.ts", "TypeScript", 0, 31, 0, 0, 0, 8, 9, 48
"c:\Users\LENOVO\Desktop\Songs\src\utils\utils-common.ts", "TypeScript", 0, 101, 0, 0, 0, 17, 11, 129
"c:\Users\LENOVO\Desktop\Songs\src\utils\utils-content.ts", "TypeScript", 0, 110, 0, 0, 0, 4, 8, 122
"c:\Users\LENOVO\Desktop\Songs\src\views\album\detailed.vue", "vue", 86, 0, 0, 0, 0, 6, 8, 100
"c:\Users\LENOVO\Desktop\Songs\src\views\album\my.vue", "vue", 63, 0, 0, 0, 0, 0, 3, 66
"c:\Users\LENOVO\Desktop\Songs\src\views\list\detailed.vue", "vue", 103, 0, 0, 0, 0, 6, 7, 116
"c:\Users\LENOVO\Desktop\Songs\src\views\list\my.vue", "vue", 170, 0, 0, 0, 0, 0, 6, 176
"c:\Users\LENOVO\Desktop\Songs\src\views\list\recommend.vue", "vue", 47, 0, 0, 0, 0, 0, 2, 49
"c:\Users\LENOVO\Desktop\Songs\src\views\list\top.vue", "vue", 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\LENOVO\Desktop\Songs\src\views\search\search.vue", "vue", 141, 0, 0, 0, 0, 0, 4, 145
"c:\Users\LENOVO\Desktop\Songs\src\views\set\basic.vue", "vue", 52, 0, 0, 0, 0, 0, 2, 54
"c:\Users\LENOVO\Desktop\Songs\src\views\set\theme.vue", "vue", 58, 0, 0, 0, 0, 0, 1, 59
"c:\Users\LENOVO\Desktop\Songs\src\views\singer\all.vue", "vue", 102, 0, 0, 0, 0, 0, 3, 105
